OTU,kingdom,phylum,class,order,family,genus,species
OTU11918,Bacteria,Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__LWQ8,g__norank_f__LWQ8,s__uncultured_bacterium_g__norank_f__LWQ8
OTU11919,Bacteria,Actinobacteriota,c__Acidimicrobiia,o__Microtrichales,f__Ilumatobacteraceae,g__norank_f__Ilumatobacteraceae,s__metagenome_g__norank_f__Ilumatobacteraceae
OTU1192,Bacteria,Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__norank_o__Saccharimonadales,g__norank_f__norank_o__Saccharimonadales,s__unclassified_g__norank_f__norank_o__Saccharimonadales
OTU11920,Bacteria,Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__LWQ8,g__norank_f__LWQ8,s__uncultured_bacterium_g__norank_f__LWQ8
OTU11921,Bacteria,Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__37-13,g__norank_f__37-13,s__uncultured_bacterium_g__norank_f__37-13
OTU11922,Bacteria,Myxococcota,c__Polyangia,o__Haliangiales,f__Haliangiaceae,g__Haliangium,s__uncultured_Haliangium_sp.
OTU11923,Bacteria,unclassified_k__norank_d__Bacteria,c__unclassified_k__norank_d__Bacteria,o__unclassified_k__norank_d__Bacteria,f__unclassified_k__norank_d__Bacteria,g__unclassified_k__norank_d__Bacteria,s__unclassified_k__norank_d__Bacteria
OTU11924,Bacteria,Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__norank_o__Saccharimonadales,g__norank_f__norank_o__Saccharimonadales,s__unclassified_g__norank_f__norank_o__Saccharimonadales
OTU11925,Bacteria,Chloroflexi,c__Anaerolineae,o__SBR1031,f__norank_o__SBR1031,g__norank_f__norank_o__SBR1031,s__uncultured_Gemmatimonadetes_bacterium_g__norank_f__norank
OTU11926,Bacteria,Actinobacteriota,c__Acidimicrobiia,o__Microtrichales,f__norank_o__Microtrichales,g__norank_f__norank_o__Microtrichales,s__unclassified_g__norank_f__norank_o__Microtrichales
OTU11927,Bacteria,Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__LWQ8,g__norank_f__LWQ8,s__uncultured_bacterium_g__norank_f__LWQ8
OTU11928,Bacteria,Bacteroidota,c__SJA-28,o__norank_c__SJA-28,f__norank_o__norank_c__SJA-28,g__norank_f__norank_o__norank_c__SJA-28,s__uncultured_Chlorobi_bacterium_g__norank_f__norank_o__norank
OTU11929,Bacteria,Chloroflexi,c__Anaerolineae,o__SBR1031,f__A4b,g__norank_f__A4b,s__unclassified_g__norank_f__A4b
OTU1193,Bacteria,Bdellovibrionota,c__Oligoflexia,o__0319-6G20,f__norank_o__0319-6G20,g__norank_f__norank_o__0319-6G20,s__unclassified_g__norank_f__norank_o__0319-6G20
OTU11931,Bacteria,Planctomycetota,c__OM190,o__norank_c__OM190,f__norank_o__norank_c__OM190,g__norank_f__norank_o__norank_c__OM190,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__OM190
OTU11932,Bacteria,SAR324_cladeMarine_group_B,c__norank_p__SAR324_cladeMarine_group_B,o__norank_c__norank_p__SAR324_cladeMarine_group_B,f__norank_o__norank_c__norank_p__SAR324_cladeMarine_group_B,g__norank_f__norank_o__norank_c__norank_p__SAR324_cladeMarine_group_B,s__metagenome_g__norank_f__norank_o__norank_c__norank_p__SAR324_cladeMarine_group_B
OTU11933,Bacteria,Patescibacteria,c__norank_p__Patescibacteria,o__norank_c__norank_p__Patescibacteria,f__norank_o__norank_c__norank_p__Patescibacteria,g__norank_f__norank_o__norank_c__norank_p__Patescibacteria,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__norank_p__Patescibacteria
OTU11934,Bacteria,Chloroflexi,c__Anaerolineae,o__SBR1031,f__A4b,g__norank_f__A4b,s__wastewater_metagenome_g__norank_f__A4b
OTU11935,Bacteria,Acidobacteriota,c__Blastocatellia,o__Pyrinomonadales,f__Pyrinomonadaceae,g__RB41,s__uncultured_soil_bacterium_g__RB41
OTU11936,Bacteria,Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__unclassified_o__Saccharimonadales,g__unclassified_o__Saccharimonadales,s__unclassified_o__Saccharimonadales
OTU11937,Bacteria,Armatimonadota,c__norank_p__Armatimonadota,o__norank_c__norank_p__Armatimonadota,f__norank_o__norank_c__norank_p__Armatimonadota,g__norank_f__norank_o__norank_c__norank_p__Armatimonadota,s__unclassified_g__norank_f__norank_o__norank_c__norank_p__Armatimonadota
OTU11939,Bacteria,Patescibacteria,c__norank_p__Patescibacteria,o__norank_c__norank_p__Patescibacteria,f__norank_o__norank_c__norank_p__Patescibacteria,g__norank_f__norank_o__norank_c__norank_p__Patescibacteria,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__norank_p__Patescibacteria
OTU1194,Bacteria,Cyanobacteria,c__Sericytochromatia,o__norank_c__Sericytochromatia,f__norank_o__norank_c__Sericytochromatia,g__norank_f__norank_o__norank_c__Sericytochromatia,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__Sericytochromatia
OTU11940,Bacteria,Planctomycetota,c__Planctomycetes,o__Isosphaerales,f__Isosphaeraceae,g__norank_f__Isosphaeraceae,s__uncultured_bacterium_g__norank_f__Isosphaeraceae
OTU11941,Bacteria,Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__norank_o__Saccharimonadales,g__norank_f__norank_o__Saccharimonadales,s__uncultured_bacterium_g__norank_f__norank_o__Saccharimonadales
OTU11942,Bacteria,Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__KD3-93,g__norank_f__KD3-93,s__uncultured_bacterium_g__norank_f__KD3-93
OTU11943,Bacteria,Patescibacteria,c__Gracilibacteria,o__Candidatus_Peribacteria,f__norank_o__Candidatus_Peribacteria,g__norank_f__norank_o__Candidatus_Peribacteria,s__uncultured_sludge_bacterium_g__norank_f__norank_o__Candidatus_Peribacteria
OTU11944,Bacteria,Elusimicrobiota,c__Lineage_IIc,o__norank_c__Lineage_IIc,f__norank_o__norank_c__Lineage_IIc,g__norank_f__norank_o__norank_c__Lineage_IIc,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__Lineage_IIc
OTU11945,Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Diplorickettsiales,f__Diplorickettsiaceae,g__Aquicella,s__uncultured_bacterium_g__Aquicella
OTU11946,Bacteria,Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__norank_o__Saccharimonadales,g__norank_f__norank_o__Saccharimonadales,s__unclassified_g__norank_f__norank_o__Saccharimonadales
OTU11947,Bacteria,Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__37-13,g__norank_f__37-13,s__uncultured_bacterium_g__norank_f__37-13
OTU11948,Bacteria,Actinobacteriota,c__Acidimicrobiia,o__unclassified_c__Acidimicrobiia,f__unclassified_c__Acidimicrobiia,g__unclassified_c__Acidimicrobiia,s__unclassified_c__Acidimicrobiia
OTU11949,Bacteria,Bacteroidota,c__Bacteroidia,o__Bacteroidetes_VC2.1_Bac22,f__norank_o__Bacteroidetes_VC2.1_Bac22,g__norank_f__norank_o__Bacteroidetes_VC2.1_Bac22,s__unclassified_g__norank_f__norank_o__Bacteroidetes_VC2.1_Bac22
OTU1195,Bacteria,Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__norank_o__Saccharimonadales,g__norank_f__norank_o__Saccharimonadales,s__unclassified_g__norank_f__norank_o__Saccharimonadales
OTU11950,Bacteria,Patescibacteria,c__Parcubacteria,o__Candidatus_Kaiserbacteria,f__norank_o__Candidatus_Kaiserbacteria,g__norank_f__norank_o__Candidatus_Kaiserbacteria,s__unclassified_g__norank_f__norank_o__Candidatus_Kaiserbacteria
OTU11952,Bacteria,WPS-2,c__norank_p__WPS-2,o__norank_c__norank_p__WPS-2,f__norank_o__norank_c__norank_p__WPS-2,g__norank_f__norank_o__norank_c__norank_p__WPS-2,s__unclassified_g__norank_f__norank_o__norank_c__norank_p__WPS-2
OTU11953,Bacteria,Firmicutes,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Ruminococcus,s__Ruminococcus_bicirculans
OTU11954,Bacteria,Patescibacteria,c__norank_p__Patescibacteria,o__norank_c__norank_p__Patescibacteria,f__norank_o__norank_c__norank_p__Patescibacteria,g__norank_f__norank_o__norank_c__norank_p__Patescibacteria,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__norank_p__Patescibacteria
OTU11955,Bacteria,Actinobacteriota,c__Thermoleophilia,o__Gaiellales,f__norank_o__Gaiellales,g__norank_f__norank_o__Gaiellales,s__uncultured_Rubrobacteria_bacterium_g__norank
OTU11956,Bacteria,Planctomycetota,c__OM190,o__norank_c__OM190,f__norank_o__norank_c__OM190,g__norank_f__norank_o__norank_c__OM190,s__planctomycete_A-2
OTU11957,Bacteria,Patescibacteria,c__Parcubacteria,o__Candidatus_Yanofskybacteria,f__norank_o__Candidatus_Yanofskybacteria,g__norank_f__norank_o__Candidatus_Yanofskybacteria,s__unclassified_g__norank_f__norank_o__Candidatus_Yanofskybacteria
OTU11958,Bacteria,Chloroflexi,c__Ktedonobacteria,o__C0119,f__norank_o__C0119,g__norank_f__norank_o__C0119,s__uncultured_bacterium_g__norank_f__norank_o__C0119
OTU11959,Bacteria,Chloroflexi,c__Anaerolineae,o__Anaerolineales,f__Anaerolineaceae,g__norank_f__Anaerolineaceae,s__unclassified_g__norank_f__Anaerolineaceae
OTU1196,Bacteria,Actinobacteriota,c__Acidimicrobiia,o__IMCC26256,f__norank_o__IMCC26256,g__norank_f__norank_o__IMCC26256,s__unclassified_g__norank_f__norank_o__IMCC26256
OTU11960,Bacteria,Actinobacteriota,c__Acidimicrobiia,o__IMCC26256,f__norank_o__IMCC26256,g__norank_f__norank_o__IMCC26256,s__uncultured_actinobacterium_g__norank_f__norank_o__IMCC26256
OTU11961,Bacteria,Planctomycetota,c__Phycisphaerae,o__Phycisphaerales,f__Phycisphaeraceae,g__norank_f__Phycisphaeraceae,s__unclassified_g__norank_f__Phycisphaeraceae
OTU11962,Bacteria,Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__LWQ8,g__norank_f__LWQ8,s__uncultured_bacterium_g__norank_f__LWQ8
OTU11964,Bacteria,Chloroflexi,c__Anaerolineae,o__SBR1031,f__norank_o__SBR1031,g__norank_f__norank_o__SBR1031,s__unclassified_g__norank_f__norank_o__SBR1031
OTU11965,Bacteria,unclassified_k__norank_d__Bacteria,c__unclassified_k__norank_d__Bacteria,o__unclassified_k__norank_d__Bacteria,f__unclassified_k__norank_d__Bacteria,g__unclassified_k__norank_d__Bacteria,s__unclassified_k__norank_d__Bacteria
OTU11966,Bacteria,Chloroflexi,c__Anaerolineae,o__SBR1031,f__norank_o__SBR1031,g__norank_f__norank_o__SBR1031,s__uncultured_Gemmatimonadetes_bacterium_g__norank_f__norank
OTU11967,Bacteria,Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__S32,g__TM7,s__unclassified_g__TM7
OTU11968,Bacteria,Chloroflexi,c__Anaerolineae,o__SBR1031,f__A4b,g__norank_f__A4b,s__uncultured_soil_bacterium_g__norank_f__A4b
OTU11969,Bacteria,Patescibacteria,c__Berkelbacteria,o__norank_c__Berkelbacteria,f__norank_o__norank_c__Berkelbacteria,g__norank_f__norank_o__norank_c__Berkelbacteria,s__unclassified_g__norank_f__norank_o__norank_c__Berkelbacteria
OTU1197,Bacteria,Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__norank_o__Saccharimonadales,g__norank_f__norank_o__Saccharimonadales,s__uncultured_bacterium_g__norank_f__norank_o__Saccharimonadales
OTU11970,Bacteria,Acidobacteriota,c__Blastocatellia,o__Blastocatellales,f__Blastocatellaceae,g__JGI_0001001-H03,s__uncultured_bacterium_g__JGI_0001001-H03
OTU11972,Bacteria,Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__Saccharimonadaceae,g__TM7a,s__uncultured_bacterium_g__TM7a
OTU11973,Bacteria,Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__norank_o__Saccharimonadales,g__norank_f__norank_o__Saccharimonadales,s__uncultured_bacterium_g__norank_f__norank_o__Saccharimonadales
OTU11974,Bacteria,Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__norank_o__Saccharimonadales,g__norank_f__norank_o__Saccharimonadales,s__uncultured_bacterium_g__norank_f__norank_o__Saccharimonadales
OTU11975,Bacteria,Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__A0839,g__norank_f__A0839,s__uncultured_proteobacterium_g__norank_f__A0839
OTU11976,Bacteria,Actinobacteriota,c__Acidimicrobiia,o__Microtrichales,f__Ilumatobacteraceae,g__norank_f__Ilumatobacteraceae,s__uncultured_Acidimicrobiales_bacterium_g__norank_f__Ilumatobacteraceae
OTU11977,Bacteria,Armatimonadota,c__norank_p__Armatimonadota,o__norank_c__norank_p__Armatimonadota,f__norank_o__norank_c__norank_p__Armatimonadota,g__norank_f__norank_o__norank_c__norank_p__Armatimonadota,s__unclassified_g__norank_f__norank_o__norank_c__norank_p__Armatimonadota
OTU11978,Bacteria,Elusimicrobiota,c__Lineage_IIa,o__norank_c__Lineage_IIa,f__norank_o__norank_c__Lineage_IIa,g__norank_f__norank_o__norank_c__Lineage_IIa,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__Lineage_IIa
OTU11979,Bacteria,Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__norank_o__Saccharimonadales,g__norank_f__norank_o__Saccharimonadales,s__uncultured_bacterium_g__norank_f__norank_o__Saccharimonadales
OTU1198,Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__unclassified_f__Comamonadaceae,s__unclassified_f__Comamonadaceae
OTU11980,Bacteria,Chloroflexi,c__Anaerolineae,o__SBR1031,f__A4b,g__norank_f__A4b,s__uncultured_bacterium_g__norank_f__A4b
OTU11981,Bacteria,Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__WWH38,g__norank_f__WWH38,s__uncultured_bacterium_g__norank_f__WWH38
OTU11982,Bacteria,Chloroflexi,c__Anaerolineae,o__RBG-13-54-9,f__norank_o__RBG-13-54-9,g__norank_f__norank_o__RBG-13-54-9,s__unclassified_g__norank_f__norank_o__RBG-13-54-9
OTU11983,Bacteria,Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__norank_o__Saccharimonadales,g__norank_f__norank_o__Saccharimonadales,s__unclassified_g__norank_f__norank_o__Saccharimonadales
OTU11984,Bacteria,Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__Saccharimonadaceae,g__TM7a,s__uncultured_bacterium_g__TM7a
OTU11985,Bacteria,Patescibacteria,c__WWE3,o__norank_c__WWE3,f__norank_o__norank_c__WWE3,g__norank_f__norank_o__norank_c__WWE3,s__unclassified_g__norank_f__norank_o__norank_c__WWE3
OTU11986,Bacteria,Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__norank_f__Gemmatimonadaceae,s__unclassified_g__norank_f__Gemmatimonadaceae
OTU11987,Bacteria,Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Terrimonas,s__uncultured_Bacteroidetes_bacterium_g__Terrimonas
OTU11988,Bacteria,Verrucomicrobiota,c__Chlamydiae,o__Chlamydiales,f__unclassified_o__Chlamydiales,g__unclassified_o__Chlamydiales,s__unclassified_o__Chlamydiales
OTU11989,Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Diplorickettsiales,f__Diplorickettsiaceae,g__norank_f__Diplorickettsiaceae,s__unclassified_g__norank_f__Diplorickettsiaceae
OTU1199,Bacteria,Patescibacteria,c__norank_p__Patescibacteria,o__norank_c__norank_p__Patescibacteria,f__norank_o__norank_c__norank_p__Patescibacteria,g__norank_f__norank_o__norank_c__norank_p__Patescibacteria,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__norank_p__Patescibacteria
OTU11990,Bacteria,Patescibacteria,c__Gracilibacteria,o__norank_c__Gracilibacteria,f__norank_o__norank_c__Gracilibacteria,g__norank_f__norank_o__norank_c__Gracilibacteria,s__uncultured_Microgenomates_group_bacterium_g__norank_f__norank_o__norank_c__Gracilibacteria
OTU11991,Bacteria,Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__norank_o__Saccharimonadales,g__norank_f__norank_o__Saccharimonadales,s__unclassified_g__norank_f__norank_o__Saccharimonadales
OTU11992,Bacteria,Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__norank_o__Saccharimonadales,g__norank_f__norank_o__Saccharimonadales,s__unclassified_g__norank_f__norank_o__Saccharimonadales
OTU11993,Bacteria,Acidobacteriota,c__Subgroup_22,o__norank_c__Subgroup_22,f__norank_o__norank_c__Subgroup_22,g__norank_f__norank_o__norank_c__Subgroup_22,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__Subgroup_22
OTU11994,Bacteria,Chloroflexi,c__Chloroflexia,o__Thermomicrobiales,f__JG30-KF-CM45,g__norank_f__JG30-KF-CM45,s__unclassified_g__norank_f__JG30-KF-CM45
OTU11995,Bacteria,Planctomycetota,c__Planctomycetes,o__Isosphaerales,f__Isosphaeraceae,g__norank_f__Isosphaeraceae,s__uncultured_Isosphaera_sp._g__norank
OTU11996,Bacteria,Planctomycetota,c__OM190,o__norank_c__OM190,f__norank_o__norank_c__OM190,g__norank_f__norank_o__norank_c__OM190,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__OM190
OTU11997,Bacteria,Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Microscillaceae,g__unclassified_f__Microscillaceae,s__unclassified_f__Microscillaceae
OTU11998,Bacteria,Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__LWQ8,g__norank_f__LWQ8,s__uncultured_bacterium_g__norank_f__LWQ8
OTU11999,Bacteria,Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Microscillaceae,g__norank_f__Microscillaceae,s__uncultured_Bacteroidetes_bacterium_g__norank_f__Microscillaceae
OTU12,Bacteria,Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__LWQ8,g__norank_f__LWQ8,s__unclassified_g__norank_f__LWQ8
OTU120,Bacteria,Patescibacteria,c__Gracilibacteria,o__Candidatus_Peregrinibacteria,f__norank_o__Candidatus_Peregrinibacteria,g__norank_f__norank_o__Candidatus_Peregrinibacteria,s__unclassified_g__norank_f__norank_o__Candidatus_Peregrinibacteria
OTU1200,Bacteria,Actinobacteriota,c__Acidimicrobiia,o__Microtrichales,f__Ilumatobacteraceae,g__norank_f__Ilumatobacteraceae,s__uncultured_Acidimicrobiales_bacterium_g__norank_f__Ilumatobacteraceae
OTU12000,Bacteria,Planctomycetota,c__OM190,o__norank_c__OM190,f__norank_o__norank_c__OM190,g__norank_f__norank_o__norank_c__OM190,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__OM190
OTU12001,Bacteria,Chloroflexi,c__Anaerolineae,o__SBR1031,f__norank_o__SBR1031,g__norank_f__norank_o__SBR1031,s__uncultured_soil_bacterium_g__norank_f__norank_o__SBR1031
OTU12002,Bacteria,Chloroflexi,c__Chloroflexia,o__Kallotenuales,f__AKIW781,g__norank_f__AKIW781,s__uncultured_bacterium_g__norank_f__AKIW781
OTU12003,Bacteria,Cyanobacteria,c__Sericytochromatia,o__norank_c__Sericytochromatia,f__norank_o__norank_c__Sericytochromatia,g__norank_f__norank_o__norank_c__Sericytochromatia,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__Sericytochromatia
OTU12004,Bacteria,Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Amaricoccus,s__unclassified_g__Amaricoccus
OTU12005,Bacteria,Acidobacteriota,c__Blastocatellia,o__Pyrinomonadales,f__Pyrinomonadaceae,g__RB41,s__uncultured_bacterium_g__RB41
OTU12006,Bacteria,Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__norank_f__Pedosphaeraceae,s__uncultured_bacterium_g__norank_f__Pedosphaeraceae
OTU12007,Bacteria,Planctomycetota,c__OM190,o__norank_c__OM190,f__norank_o__norank_c__OM190,g__norank_f__norank_o__norank_c__OM190,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__OM190
OTU12008,Bacteria,Armatimonadota,c__Fimbriimonadia,o__Fimbriimonadales,f__norank_o__Fimbriimonadales,g__norank_f__norank_o__Fimbriimonadales,s__uncultured_soil_bacterium_g__norank_f__norank_o__Fimbriimonadales
OTU12009,Bacteria,Chloroflexi,c__Anaerolineae,o__SBR1031,f__norank_o__SBR1031,g__norank_f__norank_o__SBR1031,s__uncultured_compost_bacterium_g__norank_f__norank_o__SBR1031
OTU1201,Bacteria,Myxococcota,c__Polyangia,o__Polyangiales,f__Sandaracinaceae,g__norank_f__Sandaracinaceae,s__unclassified_g__norank_f__Sandaracinaceae
OTU12010,Bacteria,Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__norank_o__Chitinophagales,g__norank_f__norank_o__Chitinophagales,s__unclassified_g__norank_f__norank_o__Chitinophagales
OTU12011,Bacteria,Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__norank_o__Vicinamibacterales,g__norank_f__norank_o__Vicinamibacterales,s__unclassified_g__norank_f__norank_o__Vicinamibacterales
OTU12012,Bacteria,Chloroflexi,c__Chloroflexia,o__Thermomicrobiales,f__JG30-KF-CM45,g__norank_f__JG30-KF-CM45,s__uncultured_bacterium_g__norank_f__JG30-KF-CM45
OTU12013,Bacteria,Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Microscillaceae,g__norank_f__Microscillaceae,s__unclassified_g__norank_f__Microscillaceae
OTU12014,Bacteria,Elusimicrobiota,c__Lineage_IIa,o__norank_c__Lineage_IIa,f__norank_o__norank_c__Lineage_IIa,g__norank_f__norank_o__norank_c__Lineage_IIa,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__Lineage_IIa
OTU12015,Bacteria,Chloroflexi,c__unclassified_p__Chloroflexi,o__unclassified_p__Chloroflexi,f__unclassified_p__Chloroflexi,g__unclassified_p__Chloroflexi,s__unclassified_p__Chloroflexi
OTU12016,Bacteria,Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__LWQ8,g__norank_f__LWQ8,s__uncultured_Candidatus_Saccharibacteria_bacterium_g__norank_f__LWQ8
OTU12017,Bacteria,Patescibacteria,c__Parcubacteria,o__Candidatus_Kaiserbacteria,f__norank_o__Candidatus_Kaiserbacteria,g__norank_f__norank_o__Candidatus_Kaiserbacteria,s__uncultured_bacterium_g__norank_f__norank_o__Candidatus_Kaiserbacteria
OTU12018,Bacteria,Planctomycetota,c__Phycisphaerae,o__Phycisphaerales,f__Phycisphaeraceae,g__AKYG587,s__uncultured_bacterium_g__AKYG587
OTU12019,Bacteria,unclassified_k__norank_d__Bacteria,c__unclassified_k__norank_d__Bacteria,o__unclassified_k__norank_d__Bacteria,f__unclassified_k__norank_d__Bacteria,g__unclassified_k__norank_d__Bacteria,s__unclassified_k__norank_d__Bacteria
OTU1202,Bacteria,Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__unclassified_o__Saccharimonadales,g__unclassified_o__Saccharimonadales,s__unclassified_o__Saccharimonadales
OTU12020,Bacteria,Planctomycetota,c__OM190,o__norank_c__OM190,f__norank_o__norank_c__OM190,g__norank_f__norank_o__norank_c__OM190,s__uncultured_Planctomycetales_bacterium_g__norank_f__norank_o__norank_c__OM190
OTU12021,Bacteria,Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__SM2D12,g__norank_f__SM2D12,s__metagenome_g__norank_f__SM2D12
OTU12022,Bacteria,Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__norank_o__Vicinamibacterales,g__norank_f__norank_o__Vicinamibacterales,s__uncultured_bacterium_g__norank_f__norank_o__Vicinamibacterales
OTU12023,Bacteria,Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__norank_f__Gemmataceae,s__uncultured_bacterium_g__norank_f__Gemmataceae
OTU12024,Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Procabacteriaceae,g__Procabacter,s__unclassified_g__Procabacter
OTU12025,Bacteria,Actinobacteriota,c__Acidimicrobiia,o__IMCC26256,f__norank_o__IMCC26256,g__norank_f__norank_o__IMCC26256,s__unclassified_g__norank_f__norank_o__IMCC26256
OTU12026,Bacteria,Patescibacteria,c__Berkelbacteria,o__norank_c__Berkelbacteria,f__norank_o__norank_c__Berkelbacteria,g__norank_f__norank_o__norank_c__Berkelbacteria,s__Candidatus_Berkelbacteria_bacterium_CG2_30_43_20
OTU12027,Bacteria,Cyanobacteria,c__Vampirivibrionia,o__Vampirovibrionales,f__norank_o__Vampirovibrionales,g__norank_f__norank_o__Vampirovibrionales,s__uncultured_bacterium_g__norank_f__norank_o__Vampirovibrionales
OTU12028,Bacteria,Gemmatimonadota,c__Longimicrobia,o__Longimicrobiales,f__Longimicrobiaceae,g__norank_f__Longimicrobiaceae,s__uncultured_bacterium_g__norank_f__Longimicrobiaceae
OTU12029,Bacteria,unclassified_k__norank_d__Bacteria,c__unclassified_k__norank_d__Bacteria,o__unclassified_k__norank_d__Bacteria,f__unclassified_k__norank_d__Bacteria,g__unclassified_k__norank_d__Bacteria,s__unclassified_k__norank_d__Bacteria
OTU1203,Bacteria,Planctomycetota,c__BD7-11,o__norank_c__BD7-11,f__norank_o__norank_c__BD7-11,g__norank_f__norank_o__norank_c__BD7-11,s__unclassified_g__norank_f__norank_o__norank_c__BD7-11
OTU12030,Bacteria,Bacteroidota,c__Kapabacteria,o__Kapabacteriales,f__norank_o__Kapabacteriales,g__norank_f__norank_o__Kapabacteriales,s__unclassified_g__norank_f__norank_o__Kapabacteriales
OTU12031,Bacteria,Planctomycetota,c__Planctomycetes,o__norank_c__Planctomycetes,f__norank_o__norank_c__Planctomycetes,g__norank_f__norank_o__norank_c__Planctomycetes,s__unclassified_g__norank_f__norank_o__norank_c__Planctomycetes
OTU12032,Bacteria,Elusimicrobiota,c__Elusimicrobia,o__MVP-88,f__norank_o__MVP-88,g__norank_f__norank_o__MVP-88,s__uncultured_bacterium_g__norank_f__norank_o__MVP-88
OTU12033,Bacteria,Chloroflexi,c__Chloroflexia,o__Kallotenuales,f__AKIW781,g__norank_f__AKIW781,s__uncultured_bacterium_g__norank_f__AKIW781
OTU12034,Bacteria,Cyanobacteria,c__Vampirivibrionia,o__Vampirovibrionales,f__norank_o__Vampirovibrionales,g__norank_f__norank_o__Vampirovibrionales,s__uncultured_bacterium_g__norank_f__norank_o__Vampirovibrionales
OTU12035,Bacteria,unclassified_k__norank_d__Bacteria,c__unclassified_k__norank_d__Bacteria,o__unclassified_k__norank_d__Bacteria,f__unclassified_k__norank_d__Bacteria,g__unclassified_k__norank_d__Bacteria,s__unclassified_k__norank_d__Bacteria
OTU12036,Bacteria,Patescibacteria,c__Gracilibacteria,o__Candidatus_Peregrinibacteria,f__norank_o__Candidatus_Peregrinibacteria,g__norank_f__norank_o__Candidatus_Peregrinibacteria,s__uncultured_bacterium_g__norank_f__norank_o__Candidatus_Peregrinibacteria
OTU12037,Bacteria,Verrucomicrobiota,c__Verrucomicrobiae,o__Methylacidiphilales,f__Methylacidiphilaceae,g__norank_f__Methylacidiphilaceae,s__candidate_division_WWE3_bacterium_RIFCSPLOWO2_01_FULL_53_14
OTU12038,Bacteria,Patescibacteria,c__Berkelbacteria,o__norank_c__Berkelbacteria,f__norank_o__norank_c__Berkelbacteria,g__norank_f__norank_o__norank_c__Berkelbacteria,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__Berkelbacteria
